arrival_time,capacity,company_name,date,destination,flying_class,flying_number,flying_type,source,ticket_price
15:15,موجود,Iranair,چهارشنبه 29 شهریور,SYZ,F-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
06:55,موجود,Mahan,جمعه 24 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,جمعه 24 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,پنج شنبه 23 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,پنج شنبه 23 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,چهارشنبه 22 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
15:20,موجود,Iranair,دوشنبه 27 شهریور,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
15:20,9,Iranair,دوشنبه 27 شهریور,SYZ,A319Y,426,,THR,"1,325,500"
15:20,9,Iranair,دوشنبه 27 شهریور,SYZ,Y,426,,THR,"1,325,500"
15:20,8,Iranair,دوشنبه 27 شهریور,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
18:00,موجود,Mahan,چهارشنبه 29 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 21 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,سه شنبه 21 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,سه شنبه 21 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 21 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,9,Mahan,چهارشنبه 01 شهریور,AZD,B,1023,,THR,"1,009,900"
20:55,موجود,Iranair,یکشنبه 22 مرداد,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
20:55,موجود,Iranair,یکشنبه 22 مرداد,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
14:30,موجود,Iranair,شنبه 25 شهریور,BND,F-100Y,458,با ضمانت-سیستمی,THR,"1,696,500"
14:30,9,Iranair,شنبه 25 شهریور,BND,F100Y,458,,THR,"1,696,500"
14:30,9,Iranair,شنبه 25 شهریور,BND,Y,458,,THR,"1,696,500"
19:20,موجود,Mahan,شنبه 25 شهریور,BND,310-EQV-DOMY_D,4593,با ضمانت-سیستمی,THR,"1,696,700"
19:20,9,Mahan,شنبه 25 شهریور,BND,AIRBUS310B,4593,,THR,"1,696,700"
19:20,9,Mahan,شنبه 25 شهریور,BND,B,4593,,THR,"1,696,700"
19:20,موجود,Mahan,شنبه 25 شهریور,BND,310-EQV-DOMC_D,4593,با ضمانت-سیستمی بیزنس,THR,"3,257,800"
05:45,موجود,Mahan,چهارشنبه 22 شهریور,BND,310-EQV-DOMC_D,1095,با ضمانت-سیستمی بیزنس,THR,"3,257,800"
05:35,موجود,Iranair,جمعه 20 مرداد,AZD,A319-100Y,292,با ضمانت-سیستمی,THR,"1,008,500"
05:35,موجود,Iranair,جمعه 20 مرداد,AZD,A319-100J,292,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
21:50,موجود,Aseman,جمعه 20 مرداد,AZD,737D,3744,با ضمانت-سیستمی بیزنس,THR,"2,840,400"
05:35,موجود,Iranair,پنج شنبه 19 مرداد,AZD,F-100Y,292,با ضمانت-سیستمی,THR,"1,008,500"
21:20,موجود,Iranair,سه شنبه 17 مرداد,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
21:55,7,Aseman,سه شنبه 17 مرداد,AZD,100Y,3724,با ضمانت-سیستمی,THR,"1,009,900"
21:20,7,Iranair,سه شنبه 17 مرداد,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
05:35,2,Iranair,جمعه 13 مرداد,AZD,A319-100J,292,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
21:20,موجود,Iranair,سه شنبه 31 مرداد,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
21:55,موجود,Aseman,سه شنبه 31 مرداد,AZD,100Y,3724,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 31 مرداد,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
20:55,موجود,Iranair,یکشنبه 29 مرداد,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
20:55,8,Iranair,یکشنبه 29 مرداد,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
21:30,موجود,Aseman,شنبه 28 مرداد,AZD,100Y,3744,با ضمانت-سیستمی,THR,"1,009,900"
05:35,موجود,Iranair,جمعه 27 مرداد,AZD,A319-100Y,292,با ضمانت-سیستمی,THR,"1,008,500"
21:50,موجود,Aseman,جمعه 27 مرداد,AZD,737Y,3744,با ضمانت-سیستمی,THR,"1,009,900"
05:35,موجود,Iranair,جمعه 27 مرداد,AZD,A319-100J,292,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
21:50,موجود,Aseman,جمعه 27 مرداد,AZD,737D,3744,با ضمانت-سیستمی بیزنس,THR,"2,840,400"
05:35,موجود,Iranair,پنج شنبه 26 مرداد,AZD,F-100Y,292,با ضمانت-سیستمی,THR,"1,008,500"
05:35,9,Iranair,پنج شنبه 26 مرداد,AZD,F100Y,292,,THR,"1,008,500"
05:35,9,Iranair,پنج شنبه 26 مرداد,AZD,Y,292,,THR,"1,008,500"
17:15,9,Aseman,پنج شنبه 26 مرداد,AZD,100Y,3724,با ضمانت-سیستمی,THR,"1,009,900"
21:50,موجود,Aseman,چهارشنبه 25 مرداد,AZD,100Y,3744,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 24 مرداد,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
21:20,موجود,Iranair,سه شنبه 24 مرداد,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,موجود,Mahan,دوشنبه 20 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,دوشنبه 20 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
20:55,موجود,Iranair,یکشنبه 19 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,یکشنبه 19 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,یکشنبه 19 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
20:55,موجود,Iranair,یکشنبه 19 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,موجود,Mahan,شنبه 18 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,شنبه 18 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,جمعه 17 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,جمعه 17 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,چهارشنبه 15 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 14 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,سه شنبه 14 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 14 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,9,Mahan,دوشنبه 13 شهریور,AZD,B,1023,,THR,"1,009,900"
20:55,موجود,Iranair,یکشنبه 12 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,یکشنبه 12 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
20:55,موجود,Iranair,یکشنبه 12 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,موجود,Mahan,شنبه 11 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,جمعه 10 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,چهارشنبه 08 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 07 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,سه شنبه 07 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,9,Mahan,سه شنبه 07 شهریور,AZD,BAE-146B,1021,,THR,"1,009,900"
22:30,10,Mahan,سه شنبه 07 شهریور,AZD,BH,1021,,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 07 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
21:20,موجود,Iranair,سه شنبه 28 شهریور,AZD,A319-100Y,298,با ضمانت-سیستمی,THR,"1,008,500"
18:00,موجود,Mahan,سه شنبه 28 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
21:20,موجود,Iranair,سه شنبه 28 شهریور,AZD,A319-100J,298,با ضمانت-سیستمی بیزنس,THR,"1,608,500"
18:00,موجود,Mahan,دوشنبه 27 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,یکشنبه 26 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,شنبه 25 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
18:00,موجود,Mahan,چهارشنبه 22 شهریور,AZD,BAE-90Y_D,1023,با ضمانت-سیستمی,THR,"1,009,900"
22:30,موجود,Mahan,چهارشنبه 22 شهریور,AZD,BAE-90Y_D,1021,با ضمانت-سیستمی,THR,"1,009,900"
16:05,موجود,Iranair,شنبه 25 شهریور,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
16:05,9,Iranair,شنبه 25 شهریور,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
15:15,موجود,Iranair,جمعه 24 شهریور,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
09:00,موجود,Mahan,جمعه 24 شهریور,SYZ,BAEEY_D,1089,با ضمانت-سیستمی,THR,"1,326,100"
15:15,موجود,Iranair,جمعه 24 شهریور,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
09:10,موجود,Iranair,یکشنبه 02 مهر,AWZ,A319-100Y,311,با ضمانت-سیستمی,THR,"1,207,000"
09:10,موجود,Iranair,یکشنبه 02 مهر,AWZ,A319-100J,311,با ضمانت-سیستمی بیزنس,THR,"1,925,000"
06:10,موجود,Iranair,پنج شنبه 30 شهریور,AWZ,F-100Y,411,با ضمانت-سیستمی,THR,"1,207,000"
21:15,موجود,Iranair,چهارشنبه 29 شهریور,AWZ,F-100Y,419,با ضمانت-سیستمی,THR,"1,207,000"
06:20,موجود,Iranair,شنبه 25 شهریور,AWZ,A319-100Y,411,با ضمانت-سیستمی,THR,"1,207,000"
21:15,موجود,Iranair,چهارشنبه 22 شهریور,AWZ,F-100Y,419,با ضمانت-سیستمی,THR,"1,207,000"
09:40,موجود,Iranair,سه شنبه 28 شهریور,KIH,A319-100Y,350,با ضمانت-سیستمی,THR,"1,753,500"
09:40,8,Iranair,سه شنبه 28 شهریور,KIH,A319-100J,350,با ضمانت-سیستمی بیزنس,THR,"2,799,500"
09:40,3,Iranair,جمعه 24 شهریور,KIH,A319-100Y,350,با ضمانت-سیستمی,THR,"1,753,500"
09:40,3,Iranair,جمعه 24 شهریور,KIH,A319Y,350,چارتری,THR,"1,753,500"
09:40,موجود,Iranair,جمعه 24 شهریور,KIH,A319-100J,350,با ضمانت-سیستمی بیزنس,THR,"2,799,500"
06:45,موجود,Iranair,پنج شنبه 23 شهریور,IFN,A320-200Y,252,با ضمانت-سیستمی,THR,"973,500"
10:25,موجود,Iranair,پنج شنبه 23 شهریور,IFN,A319-100Y,222,با ضمانت-سیستمی,THR,"973,500"
20:20,موجود,Iranair,پنج شنبه 23 شهریور,IFN,ATR72-600Y,3348,با ضمانت-سیستمی,THR,"973,500"
06:45,موجود,Iranair,پنج شنبه 23 شهریور,IFN,A320-200J,252,با ضمانت-سیستمی بیزنس,THR,"1,552,000"
10:25,موجود,Iranair,پنج شنبه 23 شهریور,IFN,A319-100J,222,با ضمانت-سیستمی بیزنس,THR,"1,552,000"
19:55,موجود,Iranair,دوشنبه 03 مهر,MHD,A319-100Y,468,با ضمانت-سیستمی,THR,"1,314,500"
07:40,موجود,Mahan,دوشنبه 03 مهر,MHD,BAE-90Y_D,1033,با ضمانت-سیستمی,THR,"1,314,800"
11:20,2,Iranair,شنبه 01 مهر,MHD,A320-200Y,260,با ضمانت-سیستمی,THR,"1,314,500"
11:20,2,Iranair,شنبه 01 مهر,MHD,A320Y,260,,THR,"1,314,500"
11:20,2,Iranair,شنبه 01 مهر,MHD,Y,260,,THR,"1,314,500"
20:40,موجود,Iranair,شنبه 01 مهر,MHD,A319-100Y,468,با ضمانت-سیستمی,THR,"1,314,500"
11:20,موجود,Iranair,شنبه 01 مهر,MHD,A320-200J,260,با ضمانت-سیستمی بیزنس,THR,"2,098,000"
20:40,موجود,Iranair,شنبه 01 مهر,MHD,A319-100J,468,با ضمانت-سیستمی بیزنس,THR,"2,098,000"
19:55,موجود,Iranair,جمعه 31 شهریور,MHD,A319-100Y,468,با ضمانت-سیستمی,THR,"1,314,500"
19:55,موجود,Iranair,جمعه 31 شهریور,MHD,A319-100J,468,با ضمانت-سیستمی بیزنس,THR,"2,098,000"
05:40,1,Iranair,پنج شنبه 30 شهریور,MHD,A319-100J,462,با ضمانت-سیستمی بیزنس,THR,"2,098,000"
19:55,5,Iranair,دوشنبه 27 شهریور,MHD,A319-100J,468,با ضمانت-سیستمی بیزنس,THR,"2,098,000"
20:40,5,Iranair,شنبه 25 شهریور,MHD,J,468,بیزنس,THR,"2,098,000"
14:30,موجود,Iranair,شنبه 18 شهریور,BND,F-100Y,458,با ضمانت-سیستمی,THR,"1,696,500"
14:45,موجود,Iranair,دوشنبه 06 شهریور,BND,F-100Y,458,با ضمانت-سیستمی,THR,"1,696,500"
06:25,8,Airtour,دوشنبه 06 شهریور,BND,MD82Y,932,با ضمانت-سیستمی,THR,"1,696,700"
19:20,موجود,Mahan,شنبه 21 مرداد,BND,E,4593,,THR,"1,535,397"
19:20,موجود,Mahan,شنبه 21 مرداد,BND,310-EQV-DOMY_D,4593,با ضمانت-سیستمی,THR,"1,696,700"
06:15,4,Pars,جمعه 13 مرداد,AKW,CRJ200VE,4492,,THR,"1,649,000"
06:55,موجود,Mahan,سه شنبه 21 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,سه شنبه 21 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,دوشنبه 06 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,دوشنبه 06 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,یکشنبه 05 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
07:00,موجود,Mahan,شنبه 04 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,شنبه 04 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,جمعه 03 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,جمعه 03 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,پنج شنبه 02 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,پنج شنبه 02 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
11:05,موجود,Iranair,چهارشنبه 01 شهریور,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
18:10,موجود,Mahan,چهارشنبه 01 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,سه شنبه 31 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,سه شنبه 31 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
12:20,موجود,Iranair,دوشنبه 30 مرداد,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
12:20,9,Iranair,دوشنبه 30 مرداد,ADU,F100Y,495,,THR,"1,024,000"
12:20,9,Iranair,دوشنبه 30 مرداد,ADU,Y,495,,THR,"1,024,000"
06:55,موجود,Mahan,دوشنبه 30 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,دوشنبه 30 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:25,موجود,Aseman,دوشنبه 30 مرداد,ADU,100Y,3710,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,یکشنبه 29 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
07:00,موجود,Mahan,شنبه 28 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,شنبه 28 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
10:15,موجود,Iranair,جمعه 27 مرداد,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
10:15,9,Iranair,جمعه 27 مرداد,ADU,F100Y,495,,THR,"1,024,000"
10:15,9,Iranair,جمعه 27 مرداد,ADU,Y,495,,THR,"1,024,000"
06:55,موجود,Mahan,جمعه 27 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
16:55,موجود,Aseman,جمعه 27 مرداد,ADU,100Y,3710,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,جمعه 27 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
13:45,موجود,Aseman,پنج شنبه 26 مرداد,ADU,100Y,3710,با ضمانت-سیستمی,THR,"1,024,400"
11:05,موجود,Iranair,چهارشنبه 25 مرداد,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
11:05,9,Iranair,چهارشنبه 25 مرداد,ADU,F100Y,495,,THR,"1,024,000"
11:05,9,Iranair,چهارشنبه 25 مرداد,ADU,Y,495,,THR,"1,024,000"
18:10,موجود,Mahan,چهارشنبه 25 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:10,9,Mahan,چهارشنبه 25 مرداد,ADU,BAE-146B,1026,,THR,"1,024,400"
18:10,9,Mahan,چهارشنبه 25 مرداد,ADU,B,1026,,THR,"1,024,400"
06:55,موجود,Mahan,سه شنبه 24 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,سه شنبه 24 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
12:20,موجود,Iranair,دوشنبه 23 مرداد,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
06:55,موجود,Mahan,دوشنبه 23 مرداد,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,دوشنبه 23 مرداد,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,دوشنبه 20 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,دوشنبه 20 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,یکشنبه 19 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,جمعه 17 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,جمعه 17 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,پنج شنبه 16 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,پنج شنبه 16 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
11:05,موجود,Iranair,چهارشنبه 15 شهریور,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
18:10,موجود,Mahan,چهارشنبه 15 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,سه شنبه 14 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,سه شنبه 14 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,دوشنبه 13 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,دوشنبه 13 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,یکشنبه 12 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
10:15,موجود,Iranair,جمعه 10 شهریور,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
06:55,موجود,Mahan,جمعه 10 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,جمعه 10 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,پنج شنبه 09 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,پنج شنبه 09 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
11:05,موجود,Iranair,چهارشنبه 08 شهریور,ADU,F-100Y,495,با ضمانت-سیستمی,THR,"1,024,000"
18:10,موجود,Mahan,چهارشنبه 08 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:55,موجود,Mahan,سه شنبه 07 شهریور,ADU,BAE-90Y_D,4536,با ضمانت-سیستمی,THR,"1,024,400"
18:10,موجود,Mahan,سه شنبه 07 شهریور,ADU,BAE-90Y_D,1026,با ضمانت-سیستمی,THR,"1,024,400"
06:25,موجود,Aseman,جمعه 20 مرداد,BND,100Y,644,با ضمانت-سیستمی,THR,"1,696,700"
05:45,موجود,Mahan,چهارشنبه 18 مرداد,BND,AB310-MNX-DOMY_D,1095,با ضمانت-سیستمی,THR,"1,696,700"
05:30,موجود,Varesh,چهارشنبه 18 مرداد,BND,735TOR,5816,با ضمانت-خدمات گردشگری,THR,"2,157,800"
19:05,موجود,Varesh,چهارشنبه 18 مرداد,BND,735TOR,5814,با ضمانت-خدمات گردشگری,THR,"2,157,800"
05:45,موجود,Mahan,چهارشنبه 18 مرداد,BND,AB310-MNX-DOMC_D,1095,با ضمانت-سیستمی بیزنس,THR,"3,257,800"
19:05,موجود,Varesh,سه شنبه 17 مرداد,BND,735TOR,5814,با ضمانت-خدمات گردشگری,THR,"2,157,800"
05:35,موجود,Varesh,دوشنبه 16 مرداد,BND,735TOR,5816,با ضمانت-خدمات گردشگری,THR,"2,157,800"
12:30,موجود,Varesh,دوشنبه 16 مرداد,BND,735TOR,5814,با ضمانت-خدمات گردشگری,THR,"2,157,800"
04:30,موجود,Zagros,یکشنبه 15 مرداد,BND,MD8TOR,4059,با ضمانت-خدمات گردشگری,THR,"2,157,800"
