national_departure_code,departure_city,departure_airport,national_arrival_code,arrival_city,arrival_airport,orthodromic_distance_KM,flight_length_min,departure_date_YMD_format,local_departure_time,local_arrival_time,company_name,flight_number,flight_sale_type,flight_capacity,fare_class_code,ticket_price_T
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,5,H,6911580
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,156.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,9,K,6416900
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,164.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,7,K,6227320
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,170.0,1402-05-18,07:15,10:05,Qeshm,QB-2210,Charter,5,L,5434443
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,155.0,1402-05-18,07:15,09:50,Qeshm,QB-2210,Charter,5,L,5715278
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,163.0,1402-05-18,07:15,09:58,Qeshm,QB-2210,Scheduled,5,L,5817400
MHD,Mashhad,Shahid_Hashemi_Nejad,ADU,Ardabil,Ardabil,1019,155.0,1402-05-18,07:50,09:35,Aseman,EP-3968,Charter,2,Y,1424310
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,218.0,1402-05-18,07:50,11:15,Mahan,W5-116,Scheduled,9,C,22659600
THR,Tehran,Mehrabad,BND,Bandar_Abbas,Bandar_Abbas,1057,142.0,1402-05-18,08:30,10:20,ATA,I3-5681,Charter,9,Y,2107800
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,180.0,1402-05-18,08:30,11:30,Caspian,RV-7906,Charter,5,Y,4263600
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,178.0,1402-05-18,08:30,11:28,Caspian,RV-7906,Charter,5,Y,4285600
MHD,Mashhad,Shahid_Hashemi_Nejad,THR,Tehran,Mehrabad,753,143.0,1402-05-18,08:45,10:20,Mahan,W5-1080,Scheduled,2,Y,1314800
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,229.0,1402-05-18,08:45,12:34,Qeshm,QB-2213,Charter,2,W,8500000
MHD,Mashhad,Shahid_Hashemi_Nejad,THR,Tehran,Mehrabad,753,136.0,1402-05-18,08:45,11:01,Mahan,W5-1080,Charter,5,E,1199477
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,139.0,1402-05-18,10:00,11:30,Zagros,ZO-3099,Charter,5,Y,3148800
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,124.0,1402-05-18,10:00,12:04,Zagros,ZO-3099,Charter,6,Y,3100000
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,130.0,1402-05-18,10:00,12:10,Iranair,IR-5325,Scheduled,5,V,7219000
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,136.0,1402-05-18,10:00,12:16,Iranair,IR-5325,Scheduled,5,M,5417500
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,139.0,1402-05-18,10:00,12:19,Iranair,IR-5325,Scheduled,5,N,4817000
SYZ,Shiraz,Shahid_Dastghaib,SHJ,Sharjah,Sharjah,552,123.0,1402-05-18,10:05,12:08,Arabia,G9-9214,Charter,5,P,5301300
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,118.0,1402-05-18,10:50,12:48,Dubai,FZ-242,Charter,5,Y,5958400
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,134.0,1402-05-18,11:00,13:14,ATA,I3-6643,Charter,4,D,3125000
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,134.0,1402-05-18,11:40,13:54,Taban,TBN-7257,Charter,7,Y,2879925
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,124.0,1402-05-18,11:40,13:44,Taban,TBN-7257,Charter,7,Y,3000000
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,179.0,1402-05-18,12:00,14:59,Iraqi,IA-1162,Charter,7,Y,5691306
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,162.0,1402-05-18,12:30,15:12,Dubai,FZ-1927,Charter,3,Y,8409900
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,162.0,1402-05-18,12:30,15:12,Dubai,FZ-1927,Charter,3,Y,8431900
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,132.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,Charter,3,J,12839848
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,113.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,Charter,3,C,10997648
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,110.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,Charter,3,Z,9418648
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,112.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,Charter,2,L,5102608
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,160.0,1402-05-18,13:30,15:15,Kish,Y9-7054,Charter,9,RB,1399895
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,156.0,1402-05-18,13:30,15:15,Kish,Y9-7054,Charter,4,RH,1385990
EVN,Yerevan,Zvartnots,IKA,Tehran,Imam_Khomeini,792,136.0,1402-05-18,13:30,15:46,Armenia,6A-60221,Charter,6,X,7850000
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,142.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,Scheduled,5,L,1587400
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,156.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,Scheduled,5,L,1548100
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,156.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,Charter,6,Y,1986900
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,139.0,1402-05-18,14:15,16:34,Caspian,RV-7940,Charter,6,D,3200000
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,165.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,Charter,4,C,24174200
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,170.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,Charter,2,Y,6267400
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,155.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,Charter,2,Y,6080300
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,164.0,1402-05-18,15:10,17:54,Dubai,FZ-1928,Charter,2,Y,6200000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,148.0,1402-05-18,15:30,17:30,Armenia,6A-222,Charter,7,Q,6668000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,149.0,1402-05-18,15:30,17:30,Armenia,6A-222,Charter,5,QQ,7021900
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,137.0,1402-05-18,15:30,17:30,Armenia,6A-222,Charter,5,XX,6574200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,145.0,1402-05-18,15:30,17:30,Armenia,6A-222,Charter,5,X,6245400
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,141.0,1402-05-18,15:30,17:30,Armenia,6A-222,Charter,4,LL,6131600
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,122.0,1402-05-18,15:30,17:30,Armenia,6A-60222,Charter,3,L,5822900
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,132.0,1402-05-18,15:30,17:42,Armenia,6A-60222,Charter,3,L,5758200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,140.0,1402-05-18,15:30,17:50,Armenia,6A-60222,Charter,3,L,5818661
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,133.0,1402-05-18,15:30,17:43,Armenia,6A-222,Charter,5,X,6178200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,129.0,1402-05-18,15:30,17:39,Armenia,6A-6222,Charter,5,Q,6603200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,127.0,1402-05-18,15:30,17:37,Armenia,6A-6222,Charter,5,Y,6674079
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,130.0,1402-05-18,15:30,17:40,Armenia,6A-60222,Charter,5,QQ,6950000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,142.0,1402-05-18,15:30,17:52,Armenia,6A-60222,Charter,2,N,7018200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,136.0,1402-05-18,15:30,17:46,Armenia,6A-60222,Charter,5,T,7438200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,141.0,1402-05-18,15:30,17:51,Armenia,6A-6222,Charter,5,R,7863200
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,125.0,1402-05-18,15:30,17:35,Iranair,IR-5319,Scheduled,3,M,5417500
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,145.0,1402-05-18,15:30,17:55,Iranair,IR-5319,Scheduled,3,V,7219000
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,165.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Scheduled,3,C,14458500
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,160.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Charter,3,C,13993660
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,170.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Scheduled,6,Z,12506900
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,160.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Charter,6,Z,12108820
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,175.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Scheduled,9,K,7888400
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,157.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Scheduled,9,L,7173200
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,164.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Charter,9,L,6957770
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,153.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Scheduled,9,M,6590700
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,158.0,1402-05-18,15:35,18:13,Qeshm,QB-2211,Charter,9,M,6188370
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,165.0,1402-05-18,15:35,18:20,Qeshm,QB-2211,Charter,9,K,7648460
IKA,Tehran,Imam_Khomeini,TBS,Tbilisi,Tbilisi,879,140.0,1402-05-18,16:00,18:20,Zagros,ZO-3085,Charter,5,Y,5279863
IKA,Tehran,Imam_Khomeini,TBS,Tbilisi,Tbilisi,879,142.0,1402-05-18,16:00,18:22,Zagros,ZO-3085,Charter,5,Y,5500000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,136.0,1402-05-18,16:15,17:00,Varesh,VRH-6817,Charter,9,Y,3853000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,133.0,1402-05-18,16:15,18:00,Varesh,VRH-6817,Charter,8,Y,4054200
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,141.0,1402-05-18,16:15,18:36,Varesh,VRH-6817,Charter,7,Y,3839900
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,127.0,1402-05-18,16:15,18:22,Varesh,VRH-6817,Charter,7,Y,3876000
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,134.0,1402-05-18,16:15,18:29,Varesh,VRH-6817,Charter,8,Y,4000000
GBT,Gorgan,Gorgan,THR,Tehran,Mehrabad,309,103.0,1402-05-18,16:30,17:30,Kish,Y9-7018,Charter,5,RS,1073626
GBT,Gorgan,Gorgan,THR,Tehran,Mehrabad,309,106.0,1402-05-18,16:30,18:16,Kish,Y9-7018,Charter,10,RF,1099900
GBT,Gorgan,Gorgan,THR,Tehran,Mehrabad,309,107.0,1402-05-18,16:30,18:17,Kish,Y9-7018,Charter,5,C,1960000
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,159.0,1402-05-18,17:00,19:05,Mahan,W5-65,Scheduled,1,C,15898600
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,169.0,1402-05-18,17:00,19:30,Mahan,W5-65,Charter,1,Y,6931300
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,167.0,1402-05-18,17:00,19:47,Mahan,W5-65,Charter,2,W,6895400
MHD,Mashhad,Shahid_Hashemi_Nejad,AWZ,Ahwaz,Soleimani,1142,152.0,1402-05-18,17:00,19:32,Zagros,ZO-4113,Charter,5,Y,1706400
IKA,Tehran,Imam_Khomeini,ESB,Ankara,Esenboga,1675,184.0,1402-05-18,17:15,19:05,Mahan,W5-118,Charter,6,Y,6931300
IKA,Tehran,Imam_Khomeini,ESB,Ankara,Esenboga,1675,191.0,1402-05-18,17:15,20:26,Mahan,W5-118,Charter,4,W,6807500
NJF,Al_Najaf,Al_Ashraf,IKA,Tehran,Imam_Khomeini,731,132.0,1402-05-18,17:35,19:47,Iranair,IR-5318,Scheduled,6,V,6872500
NJF,Al_Najaf,Al_Ashraf,IKA,Tehran,Imam_Khomeini,731,138.0,1402-05-18,17:35,19:53,Iranair,IR-5318,Scheduled,6,M,5070000
NJF,Al_Najaf,Al_Ashraf,IKA,Tehran,Imam_Khomeini,731,129.0,1402-05-18,17:35,19:44,Iranair,IR-5318,Scheduled,6,N,4469000
DXB,Dubai,Dubai,BND,Bandar_Abbas,Bandar_Abbas,241,98.0,1402-05-18,18:00,18:30,Dubai,FZ-243,Charter,6,Y,8078200
DXB,Dubai,Dubai,BND,Bandar_Abbas,Bandar_Abbas,241,96.0,1402-05-18,18:00,19:36,Dubai,FZ-243,Charter,6,Y,8000000
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,222.0,1402-05-18,18:20,22:02,Iranair,IR-769,Charter,5,Y,8743000
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,217.0,1402-05-18,18:20,21:57,Iranair,IR-769,Scheduled,9,RS,9921000
ECN,Lefkoşa,Ercan,IKA,Tehran,Imam_Khomeini,1599,175.0,1402-05-18,18:40,21:35,Freebird,FH-961,Charter,2,Y,13690000
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,223.0,1402-05-18,18:45,22:28,Qeshm,QB-2215,Charter,6,Y,7338000
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,214.0,1402-05-18,18:45,22:19,Qeshm,QB-2215,Charter,6,W,8000000
SYZ,Shiraz,Shahid_Dastghaib,MCT,Muscat,Muscat,870,131.0,1402-05-18,18:55,21:06,Salam,OV-556,Charter,5,Y,4300000
SYZ,Shiraz,Shahid_Dastghaib,MCT,Muscat,Muscat,870,143.0,1402-05-18,18:55,21:18,Salam,OV-556,Charter,5,Y,4386000
SYZ,Shiraz,Shahid_Dastghaib,MCT,Muscat,Muscat,870,145.0,1402-05-18,18:55,21:20,Salam,OV-554,Charter,5,Y,4650000
PGU,Asaloyeh,Persian_Gulf,THR,Tehran,Mehrabad,934,154.0,1402-05-18,19:00,20:35,Aseman,EP-823,Scheduled,1,Y,1530700
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,225.0,1402-05-18,19:00,22:25,Mahan,W5-120,Scheduled,4,Y,14161600
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,211.0,1402-05-18,19:00,22:31,Mahan,W5-120,Charter,4,Y,9200000
AYT,Antalya,Antalya,IKA,Tehran,Imam_Khomeini,1831,211.0,1402-05-18,19:00,22:31,MaviGok,4M-5381,Charter,6,Y,2990000
BGW,Baghdad,Baghdad,IKA,Tehran,Imam_Khomeini,679,132.0,1402-05-18,19:15,21:27,Meraj,MRJ-4818,Charter,7,Y,4300000
IKA,Tehran,Imam_Khomeini,MCT,Muscat,Muscat,1483,184.0,1402-05-18,19:30,22:34,Qeshm,QB-2112,Charter,3,W,6719825
IKA,Tehran,Imam_Khomeini,MCT,Muscat,Muscat,1483,181.0,1402-05-18,19:30,22:31,Qeshm,QB-2112,Charter,6,Y,6750000
IKA,Tehran,Imam_Khomeini,MCT,Muscat,Muscat,1483,189.0,1402-05-18,19:30,22:39,Qeshm,QB-2112,Charter,6,Y,8000000
BND,Bandar_Abbas,Bandar_Abbas,DXB,Dubai,Dubai,241,92.0,1402-05-18,19:30,21:02,Dubai,FZ-244,Charter,5,Y,6077147
BND,Bandar_Abbas,Bandar_Abbas,DXB,Dubai,Dubai,241,101.0,1402-05-18,19:30,21:11,Dubai,FZ-244,Charter,5,Y,6156280
BND,Bandar_Abbas,Bandar_Abbas,DXB,Dubai,Dubai,241,97.0,1402-05-18,19:30,21:07,Dubai,FZ-244,Charter,5,Y,6200000
EVN,Yerevan,Zvartnots,IKA,Tehran,Imam_Khomeini,792,142.0,1402-05-18,19:30,21:52,Varesh,VRH-6818,Charter,6,Y,6000000
EVN,Yerevan,Zvartnots,IKA,Tehran,Imam_Khomeini,792,128.0,1402-05-18,19:30,21:38,Varesh,VRH-6818,Charter,8,Y,6900000
IFN,Isfahan,Shahid_Beheshti,NJF,Al_Najaf,Al_Ashraf,708,122.0,1402-05-18,19:40,21:42,Aseman,EP-6545,Charter,9,Y,3898000
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,147.0,1402-05-18,19:45,21:30,Kish,Y9-7056,Charter,9,RB,1443620
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,144.0,1402-05-18,19:45,21:30,Kish,Y9-7056,Charter,5,RH,1385990
THR,Tehran,Mehrabad,AWZ,Ahwaz,Soleimani,538,122.0,1402-05-18,19:50,20:50,ATA,I3-5635,Charter,4,Y,1550000
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,154.0,1402-05-18,20:15,21:50,Qeshm,QB-2277,Charter,4,Y,3024000
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,153.0,1402-05-18,20:15,22:13,Qeshm,QB-2277,Charter,3,Y,3538600
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,149.0,1402-05-18,20:15,22:44,Qeshm,QB-2277,Charter,4,Y,2758665
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,162.0,1402-05-18,20:15,22:57,Qeshm,QB-2277,Charter,4,Y,3200000
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,150.0,1402-05-18,20:15,22:45,Qeshm,QB-2277,Charter,3,Y,3750000
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,165.0,1402-05-18,20:15,23:00,Qeshm,QB-2277,Charter,7,Y,4000000
IKA,Tehran,Imam_Khomeini,BUS,Batumi,Batumi,1078,149.0,1402-05-18,20:15,22:44,Qeshm,QB-2277,Charter,3,C,6000000
MHD,Mashhad,Shahid_Hashemi_Nejad,IFN,Isfahan,Shahid_Beheshti,808,134.0,1402-05-18,20:15,22:29,Taban,TBN-6207,Charter,1,Y,1311700
GZP,Gazipasa,Gazipasa_Alanya,IKA,Tehran,Imam_Khomeini,1699,196.0,1402-05-18,20:15,23:31,Freebird,FH-961,Charter,2,Y,5990000
IST,Istanbul,Istanbul,IKA,Tehran,Imam_Khomeini,2053,213.0,1402-05-18,20:20,23:53,Meraj,MRJ-4806,Charter,4,Y,3800000
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,162.0,1402-05-18,20:40,22:55,Mahan,W5-64,Scheduled,6,C,48400000
ESB,Ankara,Esenboga,IKA,Tehran,Imam_Khomeini,1675,203.0,1402-05-18,20:55,00:18,Mahan,W5-119,Charter,6,Y,4800000
ESB,Ankara,Esenboga,IKA,Tehran,Imam_Khomeini,1675,196.0,1402-05-18,20:55,00:11,Mahan,W5-119,Charter,6,Y,5604965
ESB,Ankara,Esenboga,IKA,Tehran,Imam_Khomeini,1675,195.0,1402-05-18,20:55,00:10,Mahan,W5-119,Charter,6,W,5794500
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,166.0,1402-05-18,21:10,23:56,Mahan,W5-64,Charter,9,E,10846302
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,166.0,1402-05-18,21:10,23:56,Mahan,W5-64,Charter,9,P,12438300
GBT,Gorgan,Gorgan,THR,Tehran,Mehrabad,309,104.0,1402-05-18,21:20,22:20,Qeshm,QB-1295,Scheduled,2,A,1152300
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,98.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Scheduled,2,R,876300
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,111.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Scheduled,2,R,861348
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,104.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Scheduled,5,Y,843300
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,107.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Charter,5,Y,829468
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,101.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Scheduled,5,V,804900
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,103.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Charter,5,V,792400
KIH,Kish_Island,Kish,BND,Bandar_Abbas,Bandar_Abbas,251,99.0,1402-05-18,21:35,22:20,Qeshm,QB-1315,Scheduled,1,M,760900
THR,Tehran,Mehrabad,SYZ,Shiraz,Shahid_Dastghaib,694,130.0,1402-05-18,21:40,23:00,ATA,I3-5623,Charter,4,Y,1550000
NJF,Al_Najaf,Al_Ashraf,IKA,Tehran,Imam_Khomeini,731,130.0,1402-05-18,21:40,23:40,Aseman,EP-585,Charter,3,C,4054200
